4.7104 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x11219ccd0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([2560, 1440]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.7104 	EXP 	window1: recordFrameIntervals = False
4.8761 	EXP 	window1: recordFrameIntervals = True
5.0600 	EXP 	window1: recordFrameIntervals = False
5.2961 	EXP 	Created instructText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
5.3004 	EXP 	Created fixationITI = Polygon(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='fixationITI', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 5.,  5.]), units='pix', vertices=ndarray(...), win=Window(...))
5.3019 	EXP 	Created cue = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='cue', opacity=1.0, ori=array(1.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
5.3024 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x10fd65890>: vertices = array([[-100.,  100.],
       [ 100.,  100.],
       [ 100., -100.],
       [-100., -100.]])
5.3041 	EXP 	Created probe = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-1.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='probe', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='pix', vertices=ndarray(...), win=Window(...))
5.3072 	EXP 	window1: blendMode = 'avg'
5.3261 	EXP 	instructText: autoDraw = True
5.3267 	EXP 	window1: blendMode = 'avg'
5.3436 	EXP 	window1: blendMode = 'avg'
5.3613 	EXP 	window1: blendMode = 'avg'
5.3772 	EXP 	window1: blendMode = 'avg'
5.3944 	EXP 	window1: blendMode = 'avg'
5.4113 	EXP 	window1: blendMode = 'avg'
5.4275 	EXP 	window1: blendMode = 'avg'
