Number,Item,Scoring,Code,Facet,Factor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,score,date,frameRate,expName,session,participant
13,Find it difficult to approach others.,+,N4,Self-consciousness,Neuroticism,0,0,0,12,1,4.261,1,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
87,Insult people.,-,A4,Cooperation,Agreeableness,0,1,1,86,1,3.699,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
1,Worry about things.,+,N1,Anxiety,Neuroticism,0,2,2,0,3,9.932,3,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
43,Enjoy being reckless.,+,E5,Excitement-seeking,Extraversion,0,3,3,42,1,5.282,1,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
49,Have a vivid imagination.,+,O1,Imagination,Openness,0,4,4,48,4,3.581,4,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
32,Avoid crowds.,-,E2,Gregariousness,Extraversion,0,5,5,31,1,2.213,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
101,Like to tidy up.,+,C2,Orderliness,Conscientiousness,0,6,6,100,2,4.081,2,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
11,Am often down in the dumps.,+,N3,Depression,Neuroticism,0,7,7,10,1,2.879,1,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
53,Believe in the importance of art.,+,O2,Artistic interests,Openness,0,8,8,52,5,2.713,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
18,Rarely overindulge.,-,N5,Immoderation,Neuroticism,0,9,9,17,4,6.882,2,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
46,Have a lot of fun.,+,E6,Cheerfulness,Extraversion,0,10,10,45,4,3.866,4,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
22,Become overwhelmed by events.,+,N6,Vulnerability,Neuroticism,0,11,11,21,1,4.247,1,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
25,Make friends easily.,+,E1,Friendliness,Extraversion,0,12,12,24,5,2.096,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
108,Break my promises.,-,C3,Dutifulness,Conscientiousness,0,13,13,107,1,3.099,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
105,Keep my promises.,+,C3,Dutifulness,Conscientiousness,0,14,14,104,5,1.814,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
68,Am not interested in theoretical discussions.,-,O5,Intellect,Openness,0,15,15,67,1,3.361,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
5,Get angry easily.,+,N2,Anger,Neuroticism,0,16,16,4,1,2.748,1,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
41,Love excitement.,+,E5,Excitement-seeking,Extraversion,0,17,17,40,4,6.132,4,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
59,Rarely notice my emotional reactions.,-,O3,Emotionality,Openness,0,18,18,58,1,3.931,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
118,Make rash decisions.,-,C6,Cautiousness,Conscientiousness,0,19,19,117,1,1.865,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
35,Take control of things.,+,E3,Assertiveness,Extraversion,0,20,20,34,5,1.946,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
102,Often forget to put things back in their proper place.,-,C2,Orderliness,Conscientiousness,0,21,21,101,3,6.062,3,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
116,Have difficulty starting tasks.,-,C5,Self-discipline,Conscientiousness,0,22,22,115,2,4.998,4,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
119,Rush into things.,-,C6,Cautiousness,Conscientiousness,0,23,23,118,3,4.148,3,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
78,Cheat to get ahead.,-,A2,Morality,Agreeableness,0,24,24,77,1,2.031,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
58,Feel others' emotions.,+,O3,Emotionality,Openness,0,25,25,57,5,3.329,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
93,Sympathize with the homeless.,+,A6,Sympathy,Agreeableness,0,26,26,92,5,3.762,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
28,Keep others at a distance.,-,E1,Friendliness,Extraversion,0,27,27,27,2,4.182,4,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
21,Panic easily.,+,N6,Vulnerability,Neuroticism,0,28,28,20,1,2.548,1,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
79,Take advantage of others.,-,A2,Morality,Agreeableness,0,29,29,78,1,2.497,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
81,Am concerned about others.,+,A3,Altruism,Agreeableness,0,30,30,80,4,5.596,4,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
38,Am always on the go.,+,E4,Actvity level,Extraversion,0,31,31,37,4,1.63,4,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
39,Do a lot in my spare time.,+,E4,Actvity level,Extraversion,0,32,32,38,5,4.581,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
98,Excel in what I do.,+,C1,Self-efficacy,Conscientiousness,0,33,33,97,5,2.364,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
82,Love to help others.,+,A3,Altruism,Agreeableness,0,34,34,81,4,3.981,4,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
74,Believe that others have good intentions.,+,A1,Trust,Agreeableness,0,35,35,73,4,3.029,4,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
117,Jump into things without thinking.,-,C6,Cautiousness,Conscientiousness,0,36,36,116,1,6.13,5,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
50,Enjoy wild flights of fantasy.,+,O1,Imagination,Openness,0,37,37,49,1,6.447,1,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
107,Break rules.,-,C3,Dutifulness,Conscientiousness,0,38,38,106,3,5.349,3,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
4,Get stressed out easily.,+,N1,Anxiety,Neuroticism,0,39,39,3,2,4.215,2,2017_Oct_11_1505,59.94457601,IPIP-NEO-120,1,ID08
