12.2870 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x112440510>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([2560, 1440]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.2870 	EXP 	window1: recordFrameIntervals = False
12.4514 	EXP 	window1: recordFrameIntervals = True
12.6356 	EXP 	window1: recordFrameIntervals = False
12.8232 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
12.8293 	EXP 	Created item = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='item', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
12.9471 	EXP 	Created rating = RatingScale(acceptKeys=['return'], acceptPreText=UNKNOWN, acceptSize=UNKNOWN, acceptText=UNKNOWN, autoLog=True, choices=False, depth=0, disappear=False, flipVert=False, high=1, kwargs=UNKNOWN, labels=list(...), leftKeys=['left'], lineColor='White', low=0, marker=ShapeStim(...), markerColor='DarkBlue', markerExpansion=UNKNOWN, markerStart=None, maxTime=0.0, minTime=0.4, mouseOnly=False, name='rating', noMouse=False, pos=[0.0, -0.2], precision=100, respKeys=['0', '1'], rightKeys=['right'], scale='', self=UNKNOWN, showAccept=False, showValue=False, singleClick=False, size=0.8999999999999999, skipKeys=['tab'], stretch=1.0, textColor='LightGray', textFont='Helvetica Bold', textSize=0.18, tickHeight=1.0, tickMarks=1.0, win=Window(...))
12.9611 	EXP 	Created msgContinue = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, name='msgContinue', opacity=1.0, ori=0, pos=array([ 0. , -0.8]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
12.9870 	EXP 	Created thanksText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='arial', fontFiles=[], height=0.3, italic=False, name='thanksText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
12.9896 	EXP 	window1: blendMode = 'avg'
13.0021 	EXP 	rating: flipVert = False
13.0021 	EXP 	rating: autoLog = True
13.0021 	EXP 	instrText: autoDraw = True
13.0027 	EXP 	window1: blendMode = 'avg'
13.0196 	EXP 	window1: blendMode = 'avg'
13.0359 	EXP 	window1: blendMode = 'avg'
13.0528 	EXP 	window1: blendMode = 'avg'
13.0697 	EXP 	window1: blendMode = 'avg'
13.0866 	EXP 	window1: blendMode = 'avg'
13.1030 	EXP 	window1: blendMode = 'avg'
13.1197 	EXP 	window1: blendMode = 'avg'
13.1365 	EXP 	window1: blendMode = 'avg'
13.1528 	EXP 	window1: blendMode = 'avg'
13.1697 	EXP 	window1: blendMode = 'avg'
13.1866 	EXP 	window1: blendMode = 'avg'
13.2029 	EXP 	window1: blendMode = 'avg'
13.2197 	EXP 	window1: blendMode = 'avg'
13.2369 	EXP 	window1: blendMode = 'avg'
13.2528 	EXP 	window1: blendMode = 'avg'
13.2697 	EXP 	window1: blendMode = 'avg'
13.2866 	EXP 	window1: blendMode = 'avg'
13.3029 	EXP 	window1: blendMode = 'avg'
13.3197 	EXP 	window1: blendMode = 'avg'
13.3366 	EXP 	window1: blendMode = 'avg'
13.3528 	EXP 	window1: blendMode = 'avg'
13.3697 	EXP 	window1: blendMode = 'avg'
13.3866 	EXP 	window1: blendMode = 'avg'
13.4029 	EXP 	window1: blendMode = 'avg'
13.4196 	EXP 	window1: blendMode = 'avg'
13.4367 	EXP 	window1: blendMode = 'avg'
13.4529 	EXP 	window1: blendMode = 'avg'
13.4698 	EXP 	window1: blendMode = 'avg'
13.4866 	EXP 	window1: blendMode = 'avg'
13.5036 	EXP 	window1: blendMode = 'avg'
13.5198 	EXP 	window1: blendMode = 'avg'
13.5375 	EXP 	window1: blendMode = 'avg'
13.5529 	EXP 	window1: blendMode = 'avg'
13.5697 	EXP 	window1: blendMode = 'avg'
13.5865 	EXP 	window1: blendMode = 'avg'
13.6032 	EXP 	window1: blendMode = 'avg'
13.6199 	EXP 	window1: blendMode = 'avg'
13.6367 	EXP 	window1: blendMode = 'avg'
13.6529 	EXP 	window1: blendMode = 'avg'
13.6697 	EXP 	window1: blendMode = 'avg'
13.6866 	EXP 	window1: blendMode = 'avg'
13.7029 	EXP 	window1: blendMode = 'avg'
13.7197 	EXP 	window1: blendMode = 'avg'
13.7367 	EXP 	window1: blendMode = 'avg'
13.7529 	EXP 	window1: blendMode = 'avg'
13.7698 	EXP 	window1: blendMode = 'avg'
13.7866 	EXP 	window1: blendMode = 'avg'
13.8034 	EXP 	window1: blendMode = 'avg'
13.8198 	EXP 	window1: blendMode = 'avg'
13.8368 	EXP 	window1: blendMode = 'avg'
13.8528 	EXP 	window1: blendMode = 'avg'
13.8697 	EXP 	window1: blendMode = 'avg'
13.8866 	EXP 	window1: blendMode = 'avg'
13.9029 	EXP 	window1: blendMode = 'avg'
13.9198 	EXP 	window1: blendMode = 'avg'
13.9366 	EXP 	window1: blendMode = 'avg'
13.9529 	EXP 	window1: blendMode = 'avg'
13.9697 	EXP 	window1: blendMode = 'avg'
13.9866 	EXP 	window1: blendMode = 'avg'
14.0038 	EXP 	window1: blendMode = 'avg'
14.0196 	EXP 	window1: blendMode = 'avg'
14.0366 	EXP 	window1: blendMode = 'avg'
14.0529 	EXP 	window1: blendMode = 'avg'
14.0697 	EXP 	window1: blendMode = 'avg'
14.0866 	EXP 	window1: blendMode = 'avg'
14.1035 	EXP 	window1: blendMode = 'avg'
14.1198 	EXP 	window1: blendMode = 'avg'
14.1375 	EXP 	window1: blendMode = 'avg'
14.1529 	EXP 	window1: blendMode = 'avg'
14.1697 	EXP 	window1: blendMode = 'avg'
14.1866 	EXP 	window1: blendMode = 'avg'
14.2035 	EXP 	window1: blendMode = 'avg'
14.2198 	EXP 	window1: blendMode = 'avg'
14.2367 	EXP 	window1: blendMode = 'avg'
14.2529 	EXP 	window1: blendMode = 'avg'
14.2697 	EXP 	window1: blendMode = 'avg'
14.2867 	EXP 	window1: blendMode = 'avg'
14.3030 	EXP 	window1: blendMode = 'avg'
14.3197 	EXP 	window1: blendMode = 'avg'
14.3370 	EXP 	window1: blendMode = 'avg'
14.3545 	EXP 	window1: blendMode = 'avg'
14.3699 	EXP 	window1: blendMode = 'avg'
14.3867 	EXP 	window1: blendMode = 'avg'
14.4035 	EXP 	window1: blendMode = 'avg'
14.4198 	EXP 	window1: blendMode = 'avg'
14.4369 	EXP 	window1: blendMode = 'avg'
14.4529 	EXP 	window1: blendMode = 'avg'
14.4698 	EXP 	window1: blendMode = 'avg'
14.4867 	EXP 	window1: blendMode = 'avg'
14.5036 	EXP 	window1: blendMode = 'avg'
14.5199 	EXP 	window1: blendMode = 'avg'
14.5388 	EXP 	window1: blendMode = 'avg'
14.5529 	EXP 	window1: blendMode = 'avg'
14.5698 	EXP 	window1: blendMode = 'avg'
14.5866 	EXP 	window1: blendMode = 'avg'
14.6035 	EXP 	window1: blendMode = 'avg'
14.6199 	EXP 	window1: blendMode = 'avg'
14.6368 	EXP 	window1: blendMode = 'avg'
14.6528 	EXP 	window1: blendMode = 'avg'
14.6700 	EXP 	window1: blendMode = 'avg'
14.6868 	EXP 	window1: blendMode = 'avg'
14.7036 	EXP 	window1: blendMode = 'avg'
14.7203 	EXP 	window1: blendMode = 'avg'
14.7368 	EXP 	window1: blendMode = 'avg'
14.7529 	EXP 	window1: blendMode = 'avg'
14.7708 	EXP 	window1: blendMode = 'avg'
14.7866 	EXP 	window1: blendMode = 'avg'
14.8035 	EXP 	window1: blendMode = 'avg'
14.8197 	EXP 	window1: blendMode = 'avg'
14.8367 	EXP 	window1: blendMode = 'avg'
14.8528 	EXP 	window1: blendMode = 'avg'
14.8698 	EXP 	window1: blendMode = 'avg'
14.8866 	EXP 	window1: blendMode = 'avg'
14.9036 	EXP 	window1: blendMode = 'avg'
14.9199 	EXP 	window1: blendMode = 'avg'
14.9367 	EXP 	window1: blendMode = 'avg'
14.9528 	EXP 	window1: blendMode = 'avg'
14.9699 	EXP 	window1: blendMode = 'avg'
14.9867 	EXP 	window1: blendMode = 'avg'
15.0036 	EXP 	window1: blendMode = 'avg'
15.0198 	EXP 	window1: blendMode = 'avg'
15.0366 	EXP 	window1: blendMode = 'avg'
15.0529 	EXP 	window1: blendMode = 'avg'
15.0705 	EXP 	window1: blendMode = 'avg'
