3.9428 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1119dddd0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([2560, 1440]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.9428 	EXP 	window1: recordFrameIntervals = False
4.1090 	EXP 	window1: recordFrameIntervals = True
4.2922 	EXP 	window1: recordFrameIntervals = False
4.3611 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.08, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
4.3676 	EXP 	Created item = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='item', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
4.3841 	EXP 	Created rating = RatingScale(acceptKeys=['return'], acceptPreText=UNKNOWN, acceptSize=UNKNOWN, acceptText=UNKNOWN, autoLog=True, choices=False, depth=0, disappear=False, flipVert=False, high=1, kwargs=UNKNOWN, labels=list(...), leftKeys=['left'], lineColor='White', low=0, marker=ShapeStim(...), markerColor='DarkBlue', markerExpansion=UNKNOWN, markerStart=None, maxTime=0.0, minTime=0.4, mouseOnly=False, name='rating', noMouse=False, pos=[0.0, -0.2], precision=100, respKeys=['0', '1'], rightKeys=['right'], scale='', self=UNKNOWN, showAccept=False, showValue=False, singleClick=False, size=0.8999999999999999, skipKeys=['tab'], stretch=1.0, textColor='LightGray', textFont='Helvetica Bold', textSize=0.18, tickHeight=1.0, tickMarks=1.0, win=Window(...))
4.3975 	EXP 	Created msgContinue = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, name='msgContinue', opacity=1.0, ori=0, pos=array([ 0. , -0.8]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
4.4269 	EXP 	Created thanksText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='arial', fontFiles=[], height=0.3, italic=False, name='thanksText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
4.4301 	EXP 	window1: blendMode = 'avg'
4.4422 	EXP 	rating: flipVert = False
4.4422 	EXP 	rating: autoLog = True
4.4422 	EXP 	instrText: autoDraw = True
4.4429 	EXP 	window1: blendMode = 'avg'
4.4595 	EXP 	window1: blendMode = 'avg'
4.4764 	EXP 	window1: blendMode = 'avg'
4.4926 	EXP 	window1: blendMode = 'avg'
4.5094 	EXP 	window1: blendMode = 'avg'
4.5266 	EXP 	window1: blendMode = 'avg'
4.5428 	EXP 	window1: blendMode = 'avg'
4.5595 	EXP 	window1: blendMode = 'avg'
4.5764 	EXP 	window1: blendMode = 'avg'
4.5927 	EXP 	window1: blendMode = 'avg'
4.6095 	EXP 	window1: blendMode = 'avg'
4.6267 	EXP 	window1: blendMode = 'avg'
4.6427 	EXP 	window1: blendMode = 'avg'
4.6595 	EXP 	window1: blendMode = 'avg'
4.6759 	EXP 	window1: blendMode = 'avg'
4.6925 	EXP 	window1: blendMode = 'avg'
4.7088 	EXP 	window1: blendMode = 'avg'
4.7267 	EXP 	window1: blendMode = 'avg'
4.7427 	EXP 	window1: blendMode = 'avg'
4.7596 	EXP 	window1: blendMode = 'avg'
4.7759 	EXP 	window1: blendMode = 'avg'
4.7926 	EXP 	window1: blendMode = 'avg'
4.8095 	EXP 	window1: blendMode = 'avg'
4.8267 	EXP 	window1: blendMode = 'avg'
4.8428 	EXP 	window1: blendMode = 'avg'
4.8596 	EXP 	window1: blendMode = 'avg'
4.8765 	EXP 	window1: blendMode = 'avg'
4.8927 	EXP 	window1: blendMode = 'avg'
4.9095 	EXP 	window1: blendMode = 'avg'
4.9267 	EXP 	window1: blendMode = 'avg'
4.9428 	EXP 	window1: blendMode = 'avg'
4.9595 	EXP 	window1: blendMode = 'avg'
4.9765 	EXP 	window1: blendMode = 'avg'
4.9928 	EXP 	window1: blendMode = 'avg'
5.0095 	EXP 	window1: blendMode = 'avg'
5.0267 	EXP 	window1: blendMode = 'avg'
5.0427 	EXP 	window1: blendMode = 'avg'
5.0596 	EXP 	window1: blendMode = 'avg'
5.0764 	EXP 	window1: blendMode = 'avg'
5.0928 	EXP 	window1: blendMode = 'avg'
5.1095 	EXP 	window1: blendMode = 'avg'
5.1268 	EXP 	window1: blendMode = 'avg'
5.1428 	EXP 	window1: blendMode = 'avg'
5.1596 	EXP 	window1: blendMode = 'avg'
5.1763 	EXP 	window1: blendMode = 'avg'
5.1928 	EXP 	window1: blendMode = 'avg'
5.2094 	EXP 	window1: blendMode = 'avg'
5.2263 	EXP 	window1: blendMode = 'avg'
5.2427 	EXP 	window1: blendMode = 'avg'
5.2594 	EXP 	window1: blendMode = 'avg'
5.2764 	EXP 	window1: blendMode = 'avg'
5.2928 	EXP 	window1: blendMode = 'avg'
5.3095 	EXP 	window1: blendMode = 'avg'
5.3265 	EXP 	window1: blendMode = 'avg'
5.3428 	EXP 	window1: blendMode = 'avg'
5.3596 	EXP 	window1: blendMode = 'avg'
5.3765 	EXP 	window1: blendMode = 'avg'
5.3927 	EXP 	window1: blendMode = 'avg'
5.4105 	EXP 	window1: blendMode = 'avg'
5.4267 	EXP 	window1: blendMode = 'avg'
5.4428 	EXP 	window1: blendMode = 'avg'
5.4597 	EXP 	window1: blendMode = 'avg'
5.4765 	EXP 	window1: blendMode = 'avg'
5.4927 	EXP 	window1: blendMode = 'avg'
5.5094 	EXP 	window1: blendMode = 'avg'
5.5267 	EXP 	window1: blendMode = 'avg'
5.5429 	EXP 	window1: blendMode = 'avg'
5.5596 	EXP 	window1: blendMode = 'avg'
5.5764 	EXP 	window1: blendMode = 'avg'
5.5928 	EXP 	window1: blendMode = 'avg'
5.6095 	EXP 	window1: blendMode = 'avg'
5.6266 	EXP 	window1: blendMode = 'avg'
5.6434 	EXP 	window1: blendMode = 'avg'
5.6597 	EXP 	window1: blendMode = 'avg'
5.6765 	EXP 	window1: blendMode = 'avg'
5.6941 	EXP 	window1: blendMode = 'avg'
5.7097 	EXP 	window1: blendMode = 'avg'
5.7267 	EXP 	window1: blendMode = 'avg'
5.7434 	EXP 	window1: blendMode = 'avg'
5.7596 	EXP 	window1: blendMode = 'avg'
5.7765 	EXP 	window1: blendMode = 'avg'
5.7933 	EXP 	window1: blendMode = 'avg'
5.8097 	EXP 	window1: blendMode = 'avg'
5.8267 	EXP 	window1: blendMode = 'avg'
5.8428 	EXP 	window1: blendMode = 'avg'
5.8605 	EXP 	window1: blendMode = 'avg'
5.8759 	EXP 	window1: blendMode = 'avg'
5.8928 	EXP 	window1: blendMode = 'avg'
5.9095 	EXP 	window1: blendMode = 'avg'
5.9268 	EXP 	window1: blendMode = 'avg'
5.9430 	EXP 	window1: blendMode = 'avg'
5.9597 	EXP 	window1: blendMode = 'avg'
5.9765 	EXP 	window1: blendMode = 'avg'
5.9934 	EXP 	window1: blendMode = 'avg'
6.0097 	EXP 	window1: blendMode = 'avg'
6.0267 	EXP 	window1: blendMode = 'avg'
6.0429 	EXP 	window1: blendMode = 'avg'
6.0596 	EXP 	window1: blendMode = 'avg'
6.0765 	EXP 	window1: blendMode = 'avg'
6.0934 	EXP 	window1: blendMode = 'avg'
6.1097 	EXP 	window1: blendMode = 'avg'
6.1266 	EXP 	window1: blendMode = 'avg'
6.1435 	EXP 	window1: blendMode = 'avg'
6.1597 	EXP 	window1: blendMode = 'avg'
6.1766 	EXP 	window1: blendMode = 'avg'
6.1934 	EXP 	window1: blendMode = 'avg'
6.2097 	EXP 	window1: blendMode = 'avg'
6.2266 	EXP 	window1: blendMode = 'avg'
6.2435 	EXP 	window1: blendMode = 'avg'
6.2596 	EXP 	window1: blendMode = 'avg'
6.2764 	EXP 	window1: blendMode = 'avg'
6.2928 	EXP 	window1: blendMode = 'avg'
6.3094 	EXP 	window1: blendMode = 'avg'
6.3265 	EXP 	window1: blendMode = 'avg'
6.3434 	EXP 	window1: blendMode = 'avg'
6.3597 	EXP 	window1: blendMode = 'avg'
6.3765 	EXP 	window1: blendMode = 'avg'
6.3934 	EXP 	window1: blendMode = 'avg'
6.4097 	EXP 	window1: blendMode = 'avg'
6.4265 	EXP 	window1: blendMode = 'avg'
6.4435 	EXP 	window1: blendMode = 'avg'
6.4595 	EXP 	window1: blendMode = 'avg'
6.4764 	EXP 	window1: blendMode = 'avg'
6.4928 	EXP 	window1: blendMode = 'avg'
6.5095 	EXP 	window1: blendMode = 'avg'
6.5266 	EXP 	window1: blendMode = 'avg'
6.5427 	EXP 	window1: blendMode = 'avg'
6.5595 	EXP 	window1: blendMode = 'avg'
6.5764 	EXP 	window1: blendMode = 'avg'
6.5933 	EXP 	window1: blendMode = 'avg'
6.6097 	EXP 	window1: blendMode = 'avg'
6.6266 	EXP 	window1: blendMode = 'avg'
6.6436 	EXP 	window1: blendMode = 'avg'
6.6593 	EXP 	window1: blendMode = 'avg'
6.6765 	EXP 	window1: blendMode = 'avg'
6.6934 	EXP 	window1: blendMode = 'avg'
6.7097 	EXP 	window1: blendMode = 'avg'
6.7266 	EXP 	window1: blendMode = 'avg'
6.7435 	EXP 	window1: blendMode = 'avg'
6.7597 	EXP 	window1: blendMode = 'avg'
6.7766 	EXP 	window1: blendMode = 'avg'
6.7935 	EXP 	window1: blendMode = 'avg'
6.8097 	EXP 	window1: blendMode = 'avg'
6.8266 	EXP 	window1: blendMode = 'avg'
6.8435 	EXP 	window1: blendMode = 'avg'
6.8597 	EXP 	window1: blendMode = 'avg'
6.8765 	EXP 	window1: blendMode = 'avg'
6.8933 	EXP 	window1: blendMode = 'avg'
6.9097 	EXP 	window1: blendMode = 'avg'
6.9265 	EXP 	window1: blendMode = 'avg'
6.9436 	EXP 	window1: blendMode = 'avg'
6.9598 	EXP 	window1: blendMode = 'avg'
6.9766 	EXP 	window1: blendMode = 'avg'
6.9934 	EXP 	window1: blendMode = 'avg'
7.0098 	EXP 	window1: blendMode = 'avg'
7.0267 	EXP 	window1: blendMode = 'avg'
7.0435 	EXP 	window1: blendMode = 'avg'
7.0604 	EXP 	window1: blendMode = 'avg'
7.0764 	EXP 	window1: blendMode = 'avg'
7.0928 	EXP 	window1: blendMode = 'avg'
7.1096 	EXP 	window1: blendMode = 'avg'
7.1266 	EXP 	window1: blendMode = 'avg'
7.1435 	EXP 	window1: blendMode = 'avg'
7.1604 	EXP 	window1: blendMode = 'avg'
7.1759 	EXP 	window1: blendMode = 'avg'
7.1936 	EXP 	window1: blendMode = 'avg'
7.2098 	EXP 	window1: blendMode = 'avg'
7.2266 	EXP 	window1: blendMode = 'avg'
7.2437 	EXP 	window1: blendMode = 'avg'
7.2595 	EXP 	window1: blendMode = 'avg'
7.2759 	EXP 	window1: blendMode = 'avg'
7.2936 	EXP 	window1: blendMode = 'avg'
7.3104 	EXP 	window1: blendMode = 'avg'
7.3266 	EXP 	window1: blendMode = 'avg'
7.3435 	EXP 	window1: blendMode = 'avg'
7.3604 	EXP 	window1: blendMode = 'avg'
7.3763 	EXP 	window1: blendMode = 'avg'
7.3928 	EXP 	window1: blendMode = 'avg'
7.4095 	EXP 	window1: blendMode = 'avg'
7.4266 	EXP 	window1: blendMode = 'avg'
7.4434 	EXP 	window1: blendMode = 'avg'
7.4604 	EXP 	window1: blendMode = 'avg'
7.4758 	EXP 	window1: blendMode = 'avg'
7.4935 	EXP 	window1: blendMode = 'avg'
7.5104 	EXP 	window1: blendMode = 'avg'
7.5266 	EXP 	window1: blendMode = 'avg'
7.5436 	EXP 	window1: blendMode = 'avg'
7.5595 	EXP 	window1: blendMode = 'avg'
7.5765 	EXP 	window1: blendMode = 'avg'
7.5928 	EXP 	window1: blendMode = 'avg'
7.6095 	EXP 	window1: blendMode = 'avg'
7.6267 	EXP 	window1: blendMode = 'avg'
7.6435 	EXP 	window1: blendMode = 'avg'
7.6604 	EXP 	window1: blendMode = 'avg'
7.6758 	EXP 	window1: blendMode = 'avg'
7.6935 	EXP 	window1: blendMode = 'avg'
7.7103 	EXP 	window1: blendMode = 'avg'
7.7267 	EXP 	window1: blendMode = 'avg'
7.7436 	EXP 	window1: blendMode = 'avg'
7.7604 	EXP 	window1: blendMode = 'avg'
7.7758 	EXP 	window1: blendMode = 'avg'
7.7936 	EXP 	window1: blendMode = 'avg'
7.8104 	EXP 	window1: blendMode = 'avg'
7.8266 	EXP 	window1: blendMode = 'avg'
7.8436 	EXP 	window1: blendMode = 'avg'
7.8605 	EXP 	window1: blendMode = 'avg'
7.8764 	EXP 	window1: blendMode = 'avg'
7.8928 	EXP 	window1: blendMode = 'avg'
7.9095 	EXP 	window1: blendMode = 'avg'
7.9265 	EXP 	window1: blendMode = 'avg'
7.9434 	EXP 	window1: blendMode = 'avg'
7.9604 	EXP 	window1: blendMode = 'avg'
7.9764 	EXP 	window1: blendMode = 'avg'
7.9927 	EXP 	window1: blendMode = 'avg'
8.0094 	EXP 	window1: blendMode = 'avg'
8.0266 	EXP 	window1: blendMode = 'avg'
8.0435 	EXP 	window1: blendMode = 'avg'
8.0605 	EXP 	window1: blendMode = 'avg'
8.0759 	EXP 	window1: blendMode = 'avg'
8.0936 	EXP 	window1: blendMode = 'avg'
8.1104 	EXP 	window1: blendMode = 'avg'
8.1274 	EXP 	window1: blendMode = 'avg'
8.1436 	EXP 	window1: blendMode = 'avg'
8.1604 	EXP 	window1: blendMode = 'avg'
8.1758 	EXP 	window1: blendMode = 'avg'
8.1936 	EXP 	window1: blendMode = 'avg'
8.2104 	EXP 	window1: blendMode = 'avg'
8.2268 	EXP 	window1: blendMode = 'avg'
8.2436 	EXP 	window1: blendMode = 'avg'
8.2605 	EXP 	window1: blendMode = 'avg'
8.2764 	EXP 	window1: blendMode = 'avg'
