21.1741 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1137ea390>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1440]), stereo=False, units='deg', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
21.1741 	EXP 	window1: recordFrameIntervals = False
21.3390 	EXP 	window1: recordFrameIntervals = True
21.5223 	EXP 	window1: recordFrameIntervals = False
21.7364 	EXP 	Created instructText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.0, italic=False, name='instructText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=newstr(...), units='deg', win=Window(...), wrapWidth=15.0)
21.7439 	EXP 	Created fixationITI = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor='white', fillColorSpace='named', interpolate=True, lineColor='white', lineColorSpace='named', lineWidth=2, name='fixationITI', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)
21.7449 	EXP 	Created cue = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='cue', opacity=1.0, ori=array(1.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
21.7480 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x111ba2990>: vertices = array([[-100.,  100.],
       [ 100.,  100.],
       [ 100., -100.],
       [-100., -100.]])
